cls	gene	meta_long	meta_short	topidp_long	topidp_short
slim	ZBTB16	0.17696204781532288		0.14196551724137935	
slim	CCDC92	0.6927529573440552		0.17264705882352943	
slim	SCMH1	0.9120362997055054		0.13549999999999998	
slim	IFT20	0.7791999578475952		0.16207692307692306	
slim	ATAT1	0.9756600260734558		0.3167	
slim	DENND4A	0.059344444423913956	0.913100004196167	0.06955555555555556	0.06
slim	SSR3	0.11006316542625427	0.2718999981880188	0.011684210526315792	0.2026666666666667
slim	ITCH	0.28770938515663147		0.19162499999999996	
slim	SRPK2	0.9296841621398926	0.9956374764442444	0.2953684210526316	0.27075
slim	ANAPC5	0.020823078230023384		-0.017923076923076917	
slim	DDX1	0.3759833574295044		0.017166666666666663	
slim	RNPS1	0.9282478094100952		0.22491304347826088	
slim	KICS2	0.0889434739947319		-0.06717391304347826	
slim	CCDC149	0.8048364520072937		-0.05218181818181817	
slim	CAV1	0.5322709083557129		0.136	
slim	FBXO2	0.9813035130500793		0.4471379310344828	
slim	ING5	0.28925713896751404		0.2202142857142857	
slim	BANP	0.9325839877128601		0.13812	
slim	KIAA0513	0.6209700107574463		0.42939999999999995	
slim	RPS15	0.30308887362480164		0.08855555555555554	
slim	MRE11	0.9724892377853394		0.10971428571428574	
slim	HNRNPA3	0.9466090798377991		0.4309545454545454	
slim	ADSL	0.015573333948850632		-0.04826666666666667	
slim	TBK1	0.25073498487472534		0.106975	
slim	KCNQ5	0.8138570785522461		-0.1958571428571429	
slim	TUBA8	0.40920573472976685	0.11972499638795853	0.22688571428571427	-0.033916666666666644
slim	PPP1R1B	0.8485249280929565		0.27341666666666664	
slim	PSMB3	0.08211538195610046	0.041999999433755875	0.155	-0.326
slim	PALB2	0.23689283430576324	0.6425666213035583	-0.23950000000000002	0.5260833333333333
slim	ZNF385D	0.9211167693138123	0.9072999954223633	-0.17333333333333334	0.011666666666666672
slim	ELAVL4	0.5794714093208313		0.37135714285714283	
slim	PUS7L	0.576658308506012		0.2555	
slim	C4orf48	0.9118333458900452		0.21145454545454545	
slim	ACVR1B	0.15271668136119843	0.3313428461551666	0.04991666666666665	0.4035714285714286
slim	CTNNB1	0.35589995980262756	0.35600000619888306	0.253	0.192
slim	ENSG00000291068	0.85051429271698		-0.08185714285714285	
slim	GNL3	0.7753166556358337		0.32958333333333334	
slim	ZNF615	0.9647363424301147		0.10981818181818183	
slim	PMM2	0.16048666834831238	0.027783336117863655	0.10736666666666667	0.02283333333333333
slim	PPP6R3	0.8572332859039307		-0.0018333333333333441	
slim	MAN1B1	0.2698153853416443		0.11046153846153846	
slim	NDUFV1	0.7868000864982605		0.037777777777777785	
slim	CEP97	0.12153235822916031		0.055882352941176466	
slim	AFDN	0.24438664317131042		-0.04906666666666668	
slim	NMRAL1	0.6359278559684753		0.18536111111111114	
slim	RPSA	0.9536857604980469	0.9906286001205444	0.07939285714285715	0.01642857142857143
slim	SLC25A44	0.013562500476837158		-0.08	
slim	CD200	0.2963320016860962		0.005159999999999998	
slim	SMAP2	0.208841934800148	0.6917999982833862	0.1218709677419355	-0.486
slim	FBXW2	0.15530624985694885		0.02259375000000001	
slim	IRF2	0.676628589630127		0.1984285714285714	
slim	MAPK10	0.5182921290397644		-0.003342105263157876	
slim	GOLGA3	0.9322875142097473		0.14775	
slim	IPO5	0.4499666392803192		0.20627777777777778	
slim	NR3C2	0.0677500069141388		0.015750000000000014	
slim	HIPK3	0.9750285148620605		0.03952380952380953	
slim	RHOBTB2	0.6947667002677917		0.13444444444444445	
slim	GSTO1	0.06892120838165283		0.1754848484848485	
slim	ALG8	0.12661035358905792	0.32805001735687256	-0.06513793103448275	-0.09466666666666668
slim	MUTYH	0.8691840171813965		0.06564	
slim	AREL1	0.1272970587015152		0.034205882352941176	
slim	WDR17	0.09298000484704971	0.00860000029206276	-0.0663	-0.884
slim	PTGES3	0.5510500073432922		0.33425	
slim	GRIA2	0.13913124799728394	0.3125857412815094	0.0858125	0.03885714285714286
slim	CHMP2B	0.5857782959938049	0.36407139897346497	0.13260869565217395	0.15128571428571427
slim	FIP1L1	0.5959208607673645	0.7745615839958191	0.119875	0.20061538461538458
slim	PLEKHG5	0.9878348708152771		0.2229130434782609	
slim	ZNF511	0.3117758631706238	0.9489842653274536	-0.021724137931034494	0.205
slim	AKAP8L	0.8738117814064026		0.12317647058823529	
slim	GRIPAP1	0.2600307762622833		0.31453846153846154	
slim	NDUFV1	0.7605857253074646		0.01714285714285716	
slim	NAP1L3	0.9801533818244934		0.5097666666666666	
slim	ZDHHC23	0.40792688727378845		0.02565384615384618	
slim	CDCA7L	0.21942999958992004	0.04600000008940697	0.21430000000000002	0.18
slim	CALM3	0.25551390647888184		0.09991666666666665	
slim	HARS2	0.021090909838676453		0.06824242424242424	
slim	AOAH	0.13090001046657562		0.06965625	
slim	GTF3C5	0.18465712666511536		0.017857142857142856	
slim	MNDA	0.48295387625694275	0.11055000126361847	0.24184615384615388	0.1125
slim	HIPK3	0.9750285148620605		0.03952380952380953	
slim	CAMK2A	0.5600408911705017		0.16313636363636366	
slim	SMARCA1	0.11311667412519455		0.06225000000000001	
slim	PRMT7	0.24485832452774048	0.19869999587535858	0.07225	0.494
slim	ENSG00000287273	0.8903821706771851	0.8639400601387024	0.3486071428571429	0.1802
slim	PUF60	0.9135655164718628		0.23048275862068962	
slim	PSMC5	0.2095249891281128	0.2321999967098236	0.17225000000000001	-0.0786
slim	TNIK	0.7844749689102173		0.188125	
slim	SIPA1L1	0.9980809092521667		0.0653809523809524	
slim	ARFGAP2	0.8262964487075806		0.1452142857142857	
slim	KIF21A	0.8080307841300964		0.3141538461538461	
slim	TMEM237	0.9508833289146423	0.9646250009536743	0.19174999999999998	0.36475
slim	HCFC1R1	0.8316158056259155		0.2938947368421052	
slim	SUMF2	0.8979789614677429	0.08033332973718643	0.0878421052631579	-0.06899999999999999
slim	CADM1	0.9383448362350464		0.21934482758620688	
slim	SAMHD1	0.05918571725487709		0.06420000000000001	
slim	PFKFB3	0.9855692386627197	0.9437714219093323	0.2570769230769231	0.058
slim	ZNF827	0.8240199089050293	0.746999979019165	-0.010399999999999987	0.586
slim	AP1G1	0.029733331874012947		0.443	
slim	SUZ12	0.2702391445636749		0.22482608695652176	
slim	GAPVD1	0.9959475994110107		0.16547619047619047	
slim	ZRANB2	0.9637333750724792	0.930525004863739	0.3185	0.22725
slim	SNX10	0.9539778232574463		0.2237777777777778	
slim	ZNF426	0.8186500072479248		0.1266578947368421	
slim	CTSA	0.9506333470344543	0.01819411851465702	0.34661111111111104	0.05894117647058823
