sample	condition	cluster	layer	n_cells	RBFOX1	RBFOX2
PO28	AD	20	Unclassified	86	4.215736389160156	1.5153450965881348
PO41	AD	1	L2/3	61	3.9988911151885986	1.4207412004470825
PO41	AD	2	L2/3	277	4.210507392883301	1.4830141067504883
PO41	AD	27	L2/3	22	4.2642364501953125	1.525890588760376
PO41	AD	10	L4	130	3.7133231163024902	1.5931971073150635
PO41	AD	11	L4	155	4.043529510498047	1.5243580341339111
PO41	AD	18	L4	70	3.599306344985962	1.6082546710968018
PO41	AD	19	L5	65	3.906430959701538	1.3992388248443604
PO41	AD	26	L5	50	4.178491592407227	1.5988922119140625
PO41	AD	25	L6	27	3.8398070335388184	1.5185425281524658
PO41	AD	20	Unclassified	121	4.158074855804443	1.3819851875305176
PO42	AD	1	L2/3	291	4.11335563659668	1.4984779357910156
PO42	AD	2	L2/3	510	4.190342903137207	1.4746617078781128
PO42	AD	27	L2/3	25	4.188642978668213	1.4443594217300415
PO42	AD	10	L4	147	3.781217098236084	1.596327304840088
PO42	AD	11	L4	119	4.073358535766602	1.5736916065216064
PO42	AD	18	L4	68	3.2784788608551025	1.6446481943130493
PO42	AD	19	L5	52	3.8901255130767822	1.3991822004318237
PO42	AD	26	L5	8	3.861520767211914	1.4536552429199219
PO42	AD	25	L6	18	3.9523911476135254	1.5822769403457642
PO42	AD	20	Unclassified	66	4.185518264770508	1.4177727699279785
SMC027	Control	1	L2/3	107	3.8786070346832275	1.417534589767456
SMC027	Control	10	L4	5	3.4038422107696533	1.6597201824188232
SMC027	Control	11	L4	6	3.857635259628296	1.6523454189300537
SMC027	Control	19	L5	6	3.792694568634033	1.6976191997528076
SMC029	AD	1	L2/3	118	3.8355295658111572	1.4879653453826904
SMC029	AD	2	L2/3	10	4.035605430603027	1.5873383283615112
SMC029	AD	27	L2/3	3	3.949343204498291	1.5757204294204712
SMC029	AD	10	L4	4	3.527493476867676	1.5897356271743774
