gene	cell_type	tier	cluster_id	subtype	layer	delta	stager_p	perm_p	cluster_AD_delta	cluster_mwu_p	mechanism	co_enrichment_score
KIF21B	Excitatory	C	19	L5 ET	L5	-0.4333		0.113	-4.46	0.01265		-1.932518
KIF21B	Excitatory	C	20	Unclassified	Mixed	-0.4333		0.113	-2.89	0.23196		-1.252237
KIF21B	Excitatory	C	25	L6 CT	L6	-0.4333		0.113	0.18	0.7501		0.077994
KIF21B	Excitatory	C	26	L5 ET	L5	-0.4333		0.113	0.16	0.91553		0.069328
KIF21B	Excitatory	C	27	L2/3 IT	L2/3	-0.4333		0.113	-0.55	0.80444		-0.23831500000000003
ADGRB2	Inhibitory	C	7	PV	L3-5	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	8	VIP	L1-3	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	9	SST	L3-5	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	13	LAMP5/NDNF	L1	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	15	LAMP5/KIT	L1-2	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	16	VIP	L1-3	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	21	PV	L3-5	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	22	LAMP5/LHX6	L2-3	-0.1291		0.1666	0.0	1.0		0.0
ADGRB2	Inhibitory	C	24	CGE-derived misc	L2-4	-0.1291		0.1666	0.0	1.0		0.0
ANKRD44	Oligodendrocyte	C	0	MOL1/2	WM/L6	0.1224		0.3556	0.0	1.0		-0.0
ANKRD44	Oligodendrocyte	C	3	MOL2	WM/L6	0.1224		0.3556	0.0	1.0		-0.0
ANKRD44	Oligodendrocyte	C	28	MOL5/6	WM	0.1224		0.3556	0.0	1.0		-0.0
ANKRD44	Oligodendrocyte	C	32	MOL5/6	WM	0.1224		0.3556	0.0	1.0		-0.0
ASXL3	Excitatory	C	1	L2/3 IT	L2/3	-0.1865		0.3112	-0.68	0.97177		-0.12682000000000002
ASXL3	Excitatory	C	2	L2/3 IT	L2/3	-0.1865		0.3112	-2.89	0.80444		-0.538985
ASXL3	Excitatory	C	10	L4 IT	L4	-0.1865		0.3112	3.37	0.12125		0.628505
ASXL3	Excitatory	C	11	L4 IT	L4	-0.1865		0.3112	3.18	0.08905		0.59307
ASXL3	Excitatory	C	18	L4 IT atypical	L4	-0.1865		0.3112	4.57	0.00994		0.8523050000000001
ASXL3	Excitatory	C	19	L5 ET	L5	-0.1865		0.3112	-4.46	0.01265		-0.83179
ASXL3	Excitatory	C	20	Unclassified	Mixed	-0.1865		0.3112	-2.89	0.23196		-0.538985
ASXL3	Excitatory	C	25	L6 CT	L6	-0.1865		0.3112	0.18	0.7501		0.033569999999999996
ASXL3	Excitatory	C	26	L5 ET	L5	-0.1865		0.3112	0.16	0.91553		0.029840000000000002
ASXL3	Excitatory	C	27	L2/3 IT	L2/3	-0.1865		0.3112	-0.55	0.80444		-0.10257500000000001
BSG	Oligodendrocyte	C	0	MOL1/2	WM/L6	0.0597		0.2152	0.0	1.0		-0.0
BSG	Oligodendrocyte	C	3	MOL2	WM/L6	0.0597		0.2152	0.0	1.0		-0.0
BSG	Oligodendrocyte	C	28	MOL5/6	WM	0.0597		0.2152	0.0	1.0		-0.0
BSG	Oligodendrocyte	C	32	MOL5/6	WM	0.0597		0.2152	0.0	1.0		-0.0
CCAR1	Inhibitory	C	7	PV	L3-5	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	8	VIP	L1-3	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	9	SST	L3-5	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	13	LAMP5/NDNF	L1	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	15	LAMP5/KIT	L1-2	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	16	VIP	L1-3	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	21	PV	L3-5	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	22	LAMP5/LHX6	L2-3	-0.188		0.1052	0.0	1.0		0.0
CCAR1	Inhibitory	C	24	CGE-derived misc	L2-4	-0.188		0.1052	0.0	1.0		0.0
DMD	Inhibitory	C	7	PV	L3-5	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	8	VIP	L1-3	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	9	SST	L3-5	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	13	LAMP5/NDNF	L1	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	15	LAMP5/KIT	L1-2	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	16	VIP	L1-3	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	21	PV	L3-5	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	22	LAMP5/LHX6	L2-3	-0.0132		0.448	0.0	1.0		0.0
DMD	Inhibitory	C	24	CGE-derived misc	L2-4	-0.0132		0.448	0.0	1.0		0.0
FANCA	Excitatory	C	1	L2/3 IT	L2/3	0.2		0.5037	-0.68	0.97177		0.136
FANCA	Excitatory	C	2	L2/3 IT	L2/3	0.2		0.5037	-2.89	0.80444		0.5780000000000001
FANCA	Excitatory	C	10	L4 IT	L4	0.2		0.5037	3.37	0.12125		-0.674
FANCA	Excitatory	C	11	L4 IT	L4	0.2		0.5037	3.18	0.08905		-0.6360000000000001
FANCA	Excitatory	C	18	L4 IT atypical	L4	0.2		0.5037	4.57	0.00994		-0.9140000000000001
FANCA	Excitatory	C	19	L5 ET	L5	0.2		0.5037	-4.46	0.01265		0.892
FANCA	Excitatory	C	20	Unclassified	Mixed	0.2		0.5037	-2.89	0.23196		0.5780000000000001
FANCA	Excitatory	C	25	L6 CT	L6	0.2		0.5037	0.18	0.7501		-0.036
FANCA	Excitatory	C	26	L5 ET	L5	0.2		0.5037	0.16	0.91553		-0.032
FANCA	Excitatory	C	27	L2/3 IT	L2/3	0.2		0.5037	-0.55	0.80444		0.11000000000000001
FRMD4A	Excitatory	C	1	L2/3 IT	L2/3	-0.1382		0.1615	-0.68	0.97177		-0.093976
FRMD4A	Excitatory	C	2	L2/3 IT	L2/3	-0.1382		0.1615	-2.89	0.80444		-0.399398
FRMD4A	Excitatory	C	10	L4 IT	L4	-0.1382		0.1615	3.37	0.12125		0.465734
FRMD4A	Excitatory	C	11	L4 IT	L4	-0.1382		0.1615	3.18	0.08905		0.439476
FRMD4A	Excitatory	C	18	L4 IT atypical	L4	-0.1382		0.1615	4.57	0.00994		0.631574
FRMD4A	Excitatory	C	19	L5 ET	L5	-0.1382		0.1615	-4.46	0.01265		-0.6163719999999999
FRMD4A	Excitatory	C	20	Unclassified	Mixed	-0.1382		0.1615	-2.89	0.23196		-0.399398
FRMD4A	Excitatory	C	25	L6 CT	L6	-0.1382		0.1615	0.18	0.7501		0.024876
FRMD4A	Excitatory	C	26	L5 ET	L5	-0.1382		0.1615	0.16	0.91553		0.022112
FRMD4A	Excitatory	C	27	L2/3 IT	L2/3	-0.1382		0.1615	-0.55	0.80444		-0.07601
GOLGB1	Astrocyte	C	4	Protoplasmic	Mixed	-0.0374		0.4268	0.0	1.0		0.0
IFI16	Oligodendrocyte	C	0	MOL1/2	WM/L6	-0.0517		0.7041	0.0	1.0		0.0
IFI16	Oligodendrocyte	C	3	MOL2	WM/L6	-0.0517		0.7041	0.0	1.0		0.0
IFI16	Oligodendrocyte	C	28	MOL5/6	WM	-0.0517		0.7041	0.0	1.0		0.0
IFI16	Oligodendrocyte	C	32	MOL5/6	WM	-0.0517		0.7041	0.0	1.0		0.0
LRPPRC	Oligodendrocyte	C	0	MOL1/2	WM/L6	-0.0041		0.9754	0.0	1.0		0.0
LRPPRC	Oligodendrocyte	C	3	MOL2	WM/L6	-0.0041		0.9754	0.0	1.0		0.0
LRPPRC	Oligodendrocyte	C	28	MOL5/6	WM	-0.0041		0.9754	0.0	1.0		0.0
LRPPRC	Oligodendrocyte	C	32	MOL5/6	WM	-0.0041		0.9754	0.0	1.0		0.0
MTHFD1	OPC	C	6	OPC	WM/L6	0.0		1.0	0.0	1.0		-0.0
