backbone	motif	insert_frac	ratio	insert_len	full_len
83	Nucleoplasmin_NLS	0.03773584905660377	0.09749446	16	424
83	cMyc_NLS	0.02158273381294964	0.069424264	9	417
85	Nucleoplasmin_NLS	0.0365296803652968	0.2153654	16	438
85	cMyc_NLS	0.02088167053364269	0.17931007	9	431
86	Nucleoplasmin_NLS	0.02671118530884808	0.11597735	16	599
86	SV40_NLS	0.011864406779661017	0.033930853	7	590
86	cMyc_NLS	0.015202702702702704	0.0639667	9	592
87	Nucleoplasmin_NLS	0.032989690721649485	0.15264566	16	485
87	SV40_NLS	0.014705882352941176	0.03809671	7	476
87	cMyc_NLS	0.01882845188284519	0.1040345	9	478
88	Nucleoplasmin_NLS	0.061068702290076333	0.2201606	16	262
88	SV40_NLS	0.02766798418972332	0.11602092	7	253
88	cMyc_NLS	0.03529411764705882	0.3612164	9	255
89	Nucleoplasmin_NLS	0.03368421052631579	0.07553289	16	475
89	SV40_NLS	0.015021459227467811	0.04738607	7	466
89	cMyc_NLS	0.019230769230769232	0.059798967	9	468
90	Nucleoplasmin_NLS	0.02782608695652174	0.06284955	16	575
90	SV40_NLS	0.012367491166077738	0.10003918	7	566
90	cMyc_NLS	0.01584507042253521	0.09535664	9	568
91	Nucleoplasmin_NLS	0.023121387283236993	0.17503317	16	692
91	SV40_NLS	0.010248901903367497	0.066760324	7	683
91	cMyc_NLS	0.013138686131386862	0.25284386	9	685
92	Nucleoplasmin_NLS	0.07960199004975124	0.27223048	16	201
92	cMyc_NLS	0.04639175257731959	0.43366736	9	194
93	Nucleoplasmin_NLS	0.050955414012738856	0.18611355	16	314
93	SV40_NLS	0.022950819672131147	0.08421859	7	305
93	cMyc_NLS	0.029315960912052116	0.13680454	9	307
94	Nucleoplasmin_NLS	0.07048458149779736	0.26380694	16	227
94	SV40_NLS	0.03211009174311927	0.1523363	7	218
94	cMyc_NLS	0.04090909090909091	0.4684958	9	220
95	Nucleoplasmin_NLS	0.031683168316831684	0.12067124	16	505
95	SV40_NLS	0.014112903225806451	0.067159764	7	496
95	cMyc_NLS	0.018072289156626505	0.14244494	9	498
96	Nucleoplasmin_NLS	0.023494860499265784	0.100964	16	681
96	SV40_NLS	0.010416666666666666	0.0940709	7	672
96	cMyc_NLS	0.013353115727002967	0.124346696	9	674
97	Nucleoplasmin_NLS	0.020356234096692113	0.07206392	16	786
97	cMyc_NLS	0.011553273427471117	0.14484939	9	779
98	Nucleoplasmin_NLS	0.03285420944558522	0.120881714	16	487
98	SV40_NLS	0.014644351464435146	0.18818228	7	478
98	cMyc_NLS	0.01875	0.17938761	9	480
99	Nucleoplasmin_NLS	0.006201550387596899	0.22574179	16	2580
99	SV40_NLS	0.0027226760015558148	0.06844701	7	2571
99	cMyc_NLS	0.003497862417411582	0.22004978	9	2573
100	Nucleoplasmin_NLS	0.02373887240356083	0.07527349	16	674
100	SV40_NLS	0.010526315789473684	0.047486443	7	665
100	cMyc_NLS	0.013493253373313344	0.0659819	9	667
101	Nucleoplasmin_NLS	0.026359143327841845	0.075678706	16	607
101	SV40_NLS	0.011705685618729096	0.12504989	7	598
101	cMyc_NLS	0.015	0.27942044	9	600
102	Nucleoplasmin_NLS	0.0299625468164794	0.18352157	16	534
102	SV40_NLS	0.013333333333333334	0.21094598	7	525
102	cMyc_NLS	0.017077798861480076	0.4416034	9	527
103	Nucleoplasmin_NLS	0.029038112522686024	0.10226503	16	551
103	cMyc_NLS	0.016544117647058824	0.042774368	9	544
104	Nucleoplasmin_NLS	0.016614745586708203	0.063252196	16	963
104	SV40_NLS	0.007337526205450734	0.02717973	7	954
104	cMyc_NLS	0.009414225941422594	0.082421534	9	956
105	Nucleoplasmin_NLS	0.016	0.057974454	16	1000
105	SV40_NLS	0.007063572149344097	0.07352282	7	991
105	cMyc_NLS	0.00906344410876133	0.12126031	9	993
106	Nucleoplasmin_NLS	0.034482758620689655	0.05831245	16	464
106	SV40_NLS	0.015384615384615385	0.05081031	7	455
106	cMyc_NLS	0.019693654266958426	0.11724761	9	457
107	Nucleoplasmin_NLS	0.011594202898550725	0.086369455	16	1380
